"year_month","days_in_month","total_views","total_comments","total_likes","avg_daily_views","avg_daily_comments","avg_daily_likes","comments_per_view","likes_per_view","engagement_rate"
2021-03-01,3,1231675,2344,44484,410558.333333333,781.333333333333,14828,0.00190309943775753,0.0361166703878864,0.0380197698256439
2021-04-01,55,6842453,16027,355830,124408.236363636,291.4,6469.63636363636,0.00234228864999146,0.0520032801102178,0.0543455687602092
2021-05-01,41,4899069,11211,296374,119489.487804878,273.439024390244,7228.63414634146,0.00228839397852939,0.0604959840328846,0.062784378011414
2021-06-01,34,3412097,10233,242047,100355.794117647,300.970588235294,7119.02941176471,0.00299903549049162,0.0709379012378605,0.0739369367283521
2021-07-01,55,4950310,12290,249168,90005.6363636364,223.454545454545,4530.32727272727,0.00248267280230935,0.0503338174780973,0.0528164902804067
2021-08-01,49,6025199,11949,286875,122963.244897959,243.857142857143,5854.59183673469,0.00198317101227694,0.0476125352872162,0.0495957062994932
2021-09-01,42,3346245,9839,206190,79672.5,234.261904761905,4909.28571428571,0.00294031070647846,0.0616183214319334,0.0645586321384119
2021-10-01,37,3688652,9106,223259,99693.2972972973,246.108108108108,6034.02702702703,0.00246865250503436,0.0605259048562998,0.0629945573613342
2021-11-01,33,3036164,8325,212136,92004.9696969697,252.272727272727,6428.36363636364,0.0027419467459597,0.0698697435316406,0.0726116902776003
2021-12-01,34,3534184,9438,228445,103946.588235294,277.588235294118,6718.97058823529,0.00267048914261397,0.0646386832151354,0.0673091723577493
2022-01-01,31,2512730,6747,198788,81055.8064516129,217.645161290323,6412.51612903226,0.00268512733162735,0.0791123598635747,0.081797487195202
2022-02-01,30,2125717,5109,171677,70857.2333333333,170.3,5722.56666666667,0.00240342435046622,0.0807619264464649,0.0831653507969311
2022-03-01,36,2519566,6067,181294,69987.9444444444,168.527777777778,5035.94444444444,0.00240795438579501,0.071954455648314,0.0743624100341091
2022-04-01,33,2701836,5972,197204,81873.8181818182,180.969696969697,5975.87878787879,0.00221034881465788,0.0729888860759868,0.0751992348906447
2022-05-01,33,2271109,5386,180342,68821.4848484848,163.212121212121,5464.90909090909,0.00237152862324089,0.0794070209752152,0.0817785495984561
2022-06-01,41,2430122,5774,207011,59271.2682926829,140.829268292683,5049.0487804878,0.00237601239773147,0.0851854351345323,0.0875614475322638
2022-07-01,34,2207485,5017,174707,64926.0294117647,147.558823529412,5138.44117647059,0.00227272212495215,0.0791430066342467,0.0814157287591988
2022-08-01,46,2701740,7251,205999,58733.4782608696,157.630434782609,4478.23913043478,0.00268382597881365,0.0762467891062797,0.0789306150850933
2022-09-01,34,1878397,4199,133267,55246.9705882353,123.5,3919.61764705882,0.0022354166877396,0.070947195933554,0.0731826126212936
2022-10-01,34,1925780,4532,123302,56640.5882352941,133.294117647059,3626.52941176471,0.00235333215632108,0.0640270435875334,0.0663803757438544
2022-11-01,33,2018589,4706,110209,61169.3636363636,142.606060606061,3339.66666666667,0.00233133143993156,0.0545970477397826,0.0569283791797141
2022-12-01,32,1504839,3993,93430,47026.21875,124.78125,2919.6875,0.00265344000255177,0.0620863760176338,0.0647398160201856
2023-01-01,31,1858106,4291,131358,59938.9032258065,138.41935483871,4237.35483870968,0.00230934080187029,0.0706945674789275,0.0730039082807978
2023-02-01,28,1533786,4036,111355,54778.0714285714,144.142857142857,3976.96428571429,0.00263139707886237,0.0726013928931415,0.0752327899720039
2023-03-01,32,1956761,4665,139747,61148.78125,145.78125,4367.09375,0.00238404179151158,0.0714175108763922,0.0738015526679037
2023-04-01,33,1657687,4096,115823,50232.9393939394,124.121212121212,3509.78787878788,0.00247091278389708,0.0698702469163358,0.0723411597002329
2023-05-01,31,1525915,3815,104462,49223.064516129,123.064516129032,3369.74193548387,0.00250013926070587,0.0684585969729638,0.0709587362336696
2023-06-01,30,1411476,3594,105629,47049.2,119.8,3520.96666666667,0.00254627071236068,0.0748358455970913,0.077382116309452
2023-07-01,34,1871558,6927,138125,55045.8235294118,203.735294117647,4062.5,0.00370119440594414,0.073802147729325,0.0775033421352691
2023-08-01,34,1611776,6744,117363,47405.1764705882,198.352941176471,3451.85294117647,0.0041842042566709,0.072815949610864,0.0770001538675349
2023-09-01,33,1696734,6598,118049,51416.1818181818,199.939393939394,3577.24242424242,0.00388864724818386,0.0695742526524488,0.0734628999006326
2023-10-01,32,1639162,5433,112289,51223.8125,169.78125,3509.03125,0.00331449850594389,0.0685039062642985,0.0718184047702424
2023-11-01,31,1208660,4764,93900,38989.0322580645,153.677419354839,3029.03225806452,0.00394155511061837,0.0776893419158407,0.0816308970264591
2023-12-01,32,1427848,4496,104108,44620.25,140.5,3253.375,0.0031487945495599,0.0729125229015974,0.0760613174511573
2024-01-01,33,1474182,4367,108366,44672.1818181818,132.333333333333,3283.81818181818,0.00296232079892442,0.0735092410570744,0.0764715618559988
2024-02-01,41,1712528,4787,115938,41768.9756097561,116.756097560976,2827.75609756098,0.00279528276325993,0.0676999149794923,0.0704951977427522
2024-03-01,58,1623582,5413,123245,27992.7931034483,93.3275862068966,2124.91379310345,0.00333398621073651,0.0759093165605433,0.0792433027712798
2024-04-01,45,1711694,5397,117159,38037.6444444444,119.933333333333,2603.53333333333,0.00315301683595316,0.0684462292909831,0.0715992461269362
2024-05-01,36,1346220,4332,99520,37395,120.333333333333,2764.44444444444,0.00321789900610599,0.0739255099463683,0.0771434089524743
2024-06-01,31,1438507,4244,99154,46403.4516129032,136.903225806452,3198.51612903226,0.00295028109004683,0.0689284098026635,0.0718786908927103
2024-07-01,35,1267873,4095,93282,36224.9428571429,117,2665.2,0.00322981875944988,0.0735736150229558,0.0768034337824056
2024-08-01,41,1478402,4414,109270,36058.5853658537,107.658536585366,2665.12195121951,0.0029856561341232,0.0739108848608159,0.0768965409949391
2024-09-01,44,1935422,5027,138384,43986.8636363636,114.25,3145.09090909091,0.00259736636247805,0.0715006856385842,0.0740980520010623
2024-10-01,68,1853982,4941,144503,27264.4411764706,72.6617647058823,2125.04411764706,0.00266507441819824,0.0779419649165957,0.080607039334794
2024-11-01,60,1873134,4806,141025,31218.9,80.1,2350.41666666667,0.00256575343782132,0.0752882602098942,0.0778540136477155
2024-12-01,38,1875044,3989,147405,49343.2631578947,104.973684210526,3879.07894736842,0.00212741674328709,0.0786141551878249,0.080741571931112
2025-01-01,35,1548710,4250,106840,44248.8571428571,121.428571428571,3052.57142857143,0.00274421938258292,0.0689864467847434,0.0717306661673264
2025-02-01,36,1394893,4350,104790,38747.0277777778,120.833333333333,2910.83333333333,0.00311851876810623,0.0751240417723797,0.0782425605404859
2025-03-01,49,1785140,4801,125518,36431.4285714286,97.9795918367347,2561.59183673469,0.00268942491905397,0.0703126925619279,0.0730021174809819
2025-04-01,53,1423366,4351,112317,26855.9622641509,82.0943396226415,2119.18867924528,0.00305683850815602,0.0789094301816961,0.0819662686898521
2025-05-01,65,1372796,5400,130976,21119.9384615385,83.0769230769231,2015.01538461538,0.00393357789504049,0.0954082034038561,0.0993417812988966
2025-06-01,34,878719,3066,73489,25844.6764705882,90.1764705882353,2161.44117647059,0.0034891700304648,0.0836319688091415,0.0871211388396063
